YEAR,SSP,CO2,CH4,other WMGs,O3,Aerosol radiation,Aerosol cloud,Other anthropogenic,Land use,Solar,Volcanic aerosols in Strat.
2014,SSP1-19,"1.98 ","0.53 ","0.59 ","0.47 ","-0.25 ","-0.94 ","0.18 ","-0.20 ","0.06 ","0.14 "
2015,SSP1-19,"2.01 ","0.53 ","0.60 ","0.46 ","-0.23 ","-0.89 ","0.19 ","-0.20 ","0.03 ","0.12 "
2016,SSP1-19,"2.06 ","0.54 ","0.60 ","0.45 ","-0.22 ","-0.89 ","0.19 ","-0.20 ","-0.01 ","0.11 "
2017,SSP1-19,"2.10 ","0.54 ","0.60 ","0.44 ","-0.21 ","-0.88 ","0.19 ","-0.20 ","-0.02 ","0.10 "
2018,SSP1-19,"2.14 ","0.55 ","0.61 ","0.44 ","-0.21 ","-0.88 ","0.19 ","-0.20 ","-0.02 ","0.08 "
2019,SSP1-19,"2.18 ","0.55 ","0.61 ","0.43 ","-0.20 ","-0.85 ","0.19 ","-0.20 ","-0.02 ","0.07 "
2020,SSP1-19,"2.22 ","0.55 ","0.61 ","0.42 ","-0.20 ","-0.81 ","0.18 ","-0.20 ","-0.02 ","0.06 "
2021,SSP1-19,"2.25 ","0.55 ","0.61 ","0.41 ","-0.19 ","-0.77 ","0.17 ","-0.20 ","0.02 ","0.04 "
2022,SSP1-19,"2.29 ","0.55 ","0.62 ","0.39 ","-0.19 ","-0.73 ","0.17 ","-0.20 ","0.06 ","0.03 "
2023,SSP1-19,"2.32 ","0.55 ","0.62 ","0.37 ","-0.18 ","-0.69 ","0.16 ","-0.20 ","0.08 ","0.01 "
2024,SSP1-19,"2.36 ","0.55 ","0.62 ","0.36 ","-0.18 ","-0.65 ","0.15 ","-0.20 ","0.09 ","0.00 "
2025,SSP1-19,"2.38 ","0.55 ","0.62 ","0.34 ","-0.18 ","-0.61 ","0.15 ","-0.20 ","0.07 ","0.00 "
2026,SSP1-19,"2.41 ","0.54 ","0.62 ","0.32 ","-0.17 ","-0.57 ","0.14 ","-0.20 ","0.04 ","0.00 "
2027,SSP1-19,"2.43 ","0.54 ","0.61 ","0.30 ","-0.17 ","-0.52 ","0.13 ","-0.20 ","0.02 ","0.00 "
2028,SSP1-19,"2.45 ","0.53 ","0.61 ","0.29 ","-0.17 ","-0.48 ","0.12 ","-0.21 ","0.01 ","0.00 "
2029,SSP1-19,"2.47 ","0.52 ","0.61 ","0.27 ","-0.16 ","-0.43 ","0.12 ","-0.21 ","-0.01 ","0.00 "
2030,SSP1-19,"2.49 ","0.52 ","0.60 ","0.25 ","-0.16 ","-0.39 ","0.11 ","-0.21 ","-0.02 ","0.00 "
2031,SSP1-19,"2.50 ","0.51 ","0.60 ","0.25 ","-0.16 ","-0.38 ","0.11 ","-0.21 ","-0.03 ","0.00 "
2032,SSP1-19,"2.51 ","0.50 ","0.59 ","0.24 ","-0.16 ","-0.36 ","0.10 ","-0.21 ","-0.02 ","0.00 "
2033,SSP1-19,"2.52 ","0.49 ","0.59 ","0.23 ","-0.16 ","-0.35 ","0.10 ","-0.21 ","0.00 ","0.00 "
2034,SSP1-19,"2.53 ","0.48 ","0.58 ","0.23 ","-0.16 ","-0.34 ","0.10 ","-0.21 ","0.04 ","0.00 "
2035,SSP1-19,"2.54 ","0.48 ","0.58 ","0.22 ","-0.16 ","-0.33 ","0.10 ","-0.21 ","0.04 ","0.00 "
2036,SSP1-19,"2.55 ","0.47 ","0.57 ","0.21 ","-0.16 ","-0.32 ","0.09 ","-0.21 ","0.06 ","0.00 "
2037,SSP1-19,"2.56 ","0.46 ","0.57 ","0.21 ","-0.16 ","-0.31 ","0.09 ","-0.21 ","0.04 ","0.00 "
2038,SSP1-19,"2.56 ","0.45 ","0.56 ","0.20 ","-0.16 ","-0.30 ","0.09 ","-0.21 ","0.04 ","0.00 "
2039,SSP1-19,"2.56 ","0.44 ","0.56 ","0.20 ","-0.16 ","-0.29 ","0.09 ","-0.21 ","0.01 ","0.00 "
2040,SSP1-19,"2.56 ","0.44 ","0.55 ","0.19 ","-0.16 ","-0.28 ","0.08 ","-0.21 ","-0.01 ","0.00 "
2041,SSP1-19,"2.56 ","0.43 ","0.55 ","0.19 ","-0.16 ","-0.27 ","0.08 ","-0.21 ","-0.03 ","0.00 "
2042,SSP1-19,"2.56 ","0.42 ","0.54 ","0.18 ","-0.16 ","-0.26 ","0.08 ","-0.21 ","-0.03 ","0.00 "
2043,SSP1-19,"2.56 ","0.41 ","0.54 ","0.18 ","-0.16 ","-0.26 ","0.08 ","-0.21 ","-0.03 ","0.00 "
2044,SSP1-19,"2.56 ","0.41 ","0.54 ","0.17 ","-0.16 ","-0.25 ","0.07 ","-0.21 ","-0.02 ","0.00 "
2045,SSP1-19,"2.56 ","0.40 ","0.53 ","0.16 ","-0.16 ","-0.24 ","0.07 ","-0.21 ","0.02 ","0.00 "
2046,SSP1-19,"2.55 ","0.39 ","0.53 ","0.16 ","-0.16 ","-0.23 ","0.07 ","-0.21 ","0.04 ","0.00 "
2047,SSP1-19,"2.55 ","0.39 ","0.52 ","0.15 ","-0.16 ","-0.22 ","0.07 ","-0.21 ","0.07 ","0.00 "
2048,SSP1-19,"2.54 ","0.38 ","0.52 ","0.15 ","-0.17 ","-0.21 ","0.06 ","-0.21 ","0.07 ","0.00 "
2049,SSP1-19,"2.54 ","0.37 ","0.52 ","0.14 ","-0.17 ","-0.21 ","0.06 ","-0.21 ","0.05 ","0.00 "
2050,SSP1-19,"2.53 ","0.37 ","0.51 ","0.14 ","-0.17 ","-0.20 ","0.06 ","-0.21 ","0.01 ","0.00 "
2051,SSP1-19,"2.52 ","0.36 ","0.51 ","0.14 ","-0.17 ","-0.19 ","0.06 ","-0.21 ","0.00 ","0.00 "
2052,SSP1-19,"2.51 ","0.35 ","0.51 ","0.13 ","-0.17 ","-0.19 ","0.06 ","-0.21 ","-0.02 ","0.00 "
2053,SSP1-19,"2.51 ","0.35 ","0.51 ","0.13 ","-0.17 ","-0.19 ","0.06 ","-0.21 ","-0.03 ","0.00 "
2054,SSP1-19,"2.50 ","0.34 ","0.50 ","0.13 ","-0.17 ","-0.18 ","0.06 ","-0.21 ","-0.02 ","0.00 "
2055,SSP1-19,"2.49 ","0.34 ","0.50 ","0.13 ","-0.17 ","-0.18 ","0.05 ","-0.21 ","0.00 ","0.00 "
2056,SSP1-19,"2.48 ","0.33 ","0.50 ","0.12 ","-0.17 ","-0.18 ","0.05 ","-0.21 ","0.02 ","0.00 "
2057,SSP1-19,"2.47 ","0.33 ","0.49 ","0.12 ","-0.17 ","-0.17 ","0.05 ","-0.21 ","0.02 ","0.00 "
2058,SSP1-19,"2.46 ","0.32 ","0.49 ","0.12 ","-0.17 ","-0.17 ","0.05 ","-0.21 ","0.03 ","0.00 "
2059,SSP1-19,"2.46 ","0.32 ","0.49 ","0.12 ","-0.17 ","-0.17 ","0.05 ","-0.21 ","0.03 ","0.00 "
2060,SSP1-19,"2.45 ","0.31 ","0.49 ","0.12 ","-0.17 ","-0.16 ","0.05 ","-0.21 ","0.01 ","0.00 "
2061,SSP1-19,"2.44 ","0.31 ","0.49 ","0.12 ","-0.17 ","-0.16 ","0.05 ","-0.20 ","-0.01 ","0.00 "
2062,SSP1-19,"2.43 ","0.30 ","0.48 ","0.11 ","-0.17 ","-0.16 ","0.05 ","-0.20 ","-0.02 ","0.00 "
2063,SSP1-19,"2.42 ","0.30 ","0.48 ","0.11 ","-0.17 ","-0.15 ","0.05 ","-0.20 ","-0.03 ","0.00 "
2064,SSP1-19,"2.41 ","0.29 ","0.48 ","0.11 ","-0.17 ","-0.15 ","0.05 ","-0.20 ","-0.03 ","0.00 "
2065,SSP1-19,"2.40 ","0.29 ","0.48 ","0.11 ","-0.17 ","-0.15 ","0.04 ","-0.20 ","-0.03 ","0.00 "
2066,SSP1-19,"2.39 ","0.29 ","0.48 ","0.11 ","-0.17 ","-0.14 ","0.04 ","-0.20 ","0.00 ","0.00 "
2067,SSP1-19,"2.38 ","0.28 ","0.47 ","0.11 ","-0.17 ","-0.14 ","0.04 ","-0.20 ","0.03 ","0.00 "
2068,SSP1-19,"2.37 ","0.28 ","0.47 ","0.11 ","-0.17 ","-0.14 ","0.04 ","-0.20 ","0.04 ","0.00 "
2069,SSP1-19,"2.36 ","0.27 ","0.47 ","0.11 ","-0.16 ","-0.13 ","0.04 ","-0.20 ","0.04 ","0.00 "
2070,SSP1-19,"2.35 ","0.27 ","0.47 ","0.11 ","-0.16 ","-0.13 ","0.04 ","-0.20 ","0.02 ","0.00 "
2071,SSP1-19,"2.34 ","0.27 ","0.47 ","0.10 ","-0.16 ","-0.13 ","0.04 ","-0.20 ","0.00 ","0.00 "
2072,SSP1-19,"2.33 ","0.26 ","0.47 ","0.10 ","-0.16 ","-0.12 ","0.04 ","-0.20 ","-0.01 ","0.00 "
2073,SSP1-19,"2.31 ","0.26 ","0.46 ","0.10 ","-0.16 ","-0.12 ","0.04 ","-0.20 ","-0.02 ","0.00 "
2074,SSP1-19,"2.30 ","0.26 ","0.46 ","0.10 ","-0.16 ","-0.11 ","0.04 ","-0.20 ","-0.03 ","0.00 "
2075,SSP1-19,"2.29 ","0.25 ","0.46 ","0.10 ","-0.16 ","-0.11 ","0.04 ","-0.20 ","-0.04 ","0.00 "
2076,SSP1-19,"2.28 ","0.25 ","0.46 ","0.10 ","-0.16 ","-0.10 ","0.04 ","-0.20 ","-0.04 ","0.00 "
2077,SSP1-19,"2.27 ","0.25 ","0.46 ","0.10 ","-0.16 ","-0.10 ","0.04 ","-0.20 ","-0.04 ","0.00 "
2078,SSP1-19,"2.26 ","0.24 ","0.46 ","0.10 ","-0.16 ","-0.10 ","0.04 ","-0.20 ","-0.02 ","0.00 "
2079,SSP1-19,"2.24 ","0.24 ","0.46 ","0.10 ","-0.15 ","-0.09 ","0.04 ","-0.20 ","0.00 ","0.00 "
2080,SSP1-19,"2.23 ","0.24 ","0.46 ","0.09 ","-0.15 ","-0.09 ","0.04 ","-0.19 ","0.02 ","0.00 "
2081,SSP1-19,"2.22 ","0.23 ","0.45 ","0.09 ","-0.15 ","-0.08 ","0.04 ","-0.19 ","0.02 ","0.00 "
2082,SSP1-19,"2.21 ","0.23 ","0.45 ","0.09 ","-0.15 ","-0.08 ","0.04 ","-0.19 ","0.02 ","0.00 "
2083,SSP1-19,"2.19 ","0.23 ","0.45 ","0.09 ","-0.15 ","-0.08 ","0.04 ","-0.19 ","0.00 ","0.00 "
2084,SSP1-19,"2.18 ","0.22 ","0.45 ","0.09 ","-0.15 ","-0.07 ","0.03 ","-0.19 ","0.00 ","0.00 "
2085,SSP1-19,"2.16 ","0.22 ","0.45 ","0.09 ","-0.15 ","-0.07 ","0.03 ","-0.19 ","-0.03 ","0.00 "
2086,SSP1-19,"2.15 ","0.22 ","0.45 ","0.09 ","-0.15 ","-0.07 ","0.03 ","-0.19 ","-0.04 ","0.00 "
2087,SSP1-19,"2.14 ","0.21 ","0.45 ","0.09 ","-0.15 ","-0.06 ","0.03 ","-0.19 ","-0.04 ","0.00 "
2088,SSP1-19,"2.12 ","0.21 ","0.45 ","0.09 ","-0.14 ","-0.06 ","0.03 ","-0.19 ","-0.04 ","0.00 "
2089,SSP1-19,"2.11 ","0.21 ","0.45 ","0.09 ","-0.14 ","-0.06 ","0.03 ","-0.19 ","-0.02 ","0.00 "
2090,SSP1-19,"2.09 ","0.21 ","0.45 ","0.09 ","-0.14 ","-0.05 ","0.03 ","-0.19 ","0.01 ","0.00 "
2091,SSP1-19,"2.08 ","0.20 ","0.45 ","0.09 ","-0.14 ","-0.05 ","0.03 ","-0.19 ","0.03 ","0.00 "
2092,SSP1-19,"2.06 ","0.20 ","0.44 ","0.09 ","-0.14 ","-0.05 ","0.03 ","-0.19 ","0.05 ","0.00 "
2093,SSP1-19,"2.04 ","0.20 ","0.44 ","0.09 ","-0.14 ","-0.04 ","0.03 ","-0.19 ","0.04 ","0.00 "
2094,SSP1-19,"2.03 ","0.19 ","0.44 ","0.08 ","-0.14 ","-0.04 ","0.03 ","-0.19 ","0.02 ","0.00 "
2095,SSP1-19,"2.01 ","0.19 ","0.44 ","0.08 ","-0.14 ","-0.03 ","0.03 ","-0.19 ","0.00 ","0.00 "
2096,SSP1-19,"2.00 ","0.19 ","0.44 ","0.08 ","-0.13 ","-0.03 ","0.03 ","-0.18 ","-0.02 ","0.00 "
2097,SSP1-19,"1.98 ","0.19 ","0.44 ","0.08 ","-0.13 ","-0.03 ","0.03 ","-0.18 ","-0.03 ","0.00 "
2098,SSP1-19,"1.96 ","0.18 ","0.44 ","0.08 ","-0.13 ","-0.02 ","0.03 ","-0.18 ","-0.03 ","0.00 "
2099,SSP1-19,"1.94 ","0.18 ","0.44 ","0.08 ","-0.13 ","-0.02 ","0.03 ","-0.18 ","-0.02 ","0.00 "
2100,SSP1-19,"1.92 ","0.18 ","0.44 ","0.08 ","-0.13 ","-0.01 ","0.03 ","-0.18 ","0.00 ","0.00 "
2014,SSP1-26,"1.98 ","0.53 ","0.59 ","0.47 ","-0.25 ","-0.94 ","0.18 ","-0.20 ","0.06 ","0.14 "
2015,SSP1-26,"2.01 ","0.53 ","0.60 ","0.46 ","-0.23 ","-0.89 ","0.19 ","-0.20 ","0.03 ","0.12 "
2016,SSP1-26,"2.06 ","0.54 ","0.60 ","0.45 ","-0.22 ","-0.89 ","0.19 ","-0.20 ","-0.01 ","0.11 "
2017,SSP1-26,"2.10 ","0.54 ","0.60 ","0.44 ","-0.21 ","-0.89 ","0.19 ","-0.20 ","-0.02 ","0.10 "
2018,SSP1-26,"2.14 ","0.55 ","0.61 ","0.44 ","-0.21 ","-0.88 ","0.19 ","-0.20 ","-0.02 ","0.08 "
2019,SSP1-26,"2.18 ","0.55 ","0.61 ","0.42 ","-0.20 ","-0.85 ","0.19 ","-0.20 ","-0.02 ","0.07 "
2020,SSP1-26,"2.22 ","0.55 ","0.61 ","0.42 ","-0.20 ","-0.81 ","0.18 ","-0.20 ","-0.02 ","0.06 "
2021,SSP1-26,"2.26 ","0.55 ","0.61 ","0.41 ","-0.20 ","-0.79 ","0.17 ","-0.20 ","0.02 ","0.04 "
2022,SSP1-26,"2.29 ","0.55 ","0.62 ","0.39 ","-0.20 ","-0.76 ","0.17 ","-0.20 ","0.06 ","0.03 "
2023,SSP1-26,"2.33 ","0.55 ","0.62 ","0.38 ","-0.20 ","-0.73 ","0.17 ","-0.20 ","0.08 ","0.01 "
2024,SSP1-26,"2.36 ","0.55 ","0.62 ","0.37 ","-0.20 ","-0.70 ","0.16 ","-0.20 ","0.09 ","0.00 "
2025,SSP1-26,"2.40 ","0.54 ","0.62 ","0.36 ","-0.19 ","-0.67 ","0.16 ","-0.20 ","0.07 ","0.00 "
2026,SSP1-26,"2.43 ","0.54 ","0.62 ","0.35 ","-0.19 ","-0.64 ","0.15 ","-0.20 ","0.04 ","0.00 "
2027,SSP1-26,"2.46 ","0.54 ","0.62 ","0.34 ","-0.19 ","-0.60 ","0.15 ","-0.20 ","0.02 ","0.00 "
2028,SSP1-26,"2.50 ","0.53 ","0.62 ","0.33 ","-0.19 ","-0.57 ","0.14 ","-0.21 ","0.01 ","0.00 "
2029,SSP1-26,"2.53 ","0.53 ","0.62 ","0.31 ","-0.19 ","-0.54 ","0.14 ","-0.21 ","-0.01 ","0.00 "
2030,SSP1-26,"2.56 ","0.52 ","0.62 ","0.30 ","-0.19 ","-0.51 ","0.13 ","-0.21 ","-0.02 ","0.00 "
2031,SSP1-26,"2.58 ","0.52 ","0.61 ","0.30 ","-0.19 ","-0.49 ","0.13 ","-0.21 ","-0.03 ","0.00 "
2032,SSP1-26,"2.61 ","0.51 ","0.61 ","0.29 ","-0.18 ","-0.48 ","0.13 ","-0.21 ","-0.02 ","0.00 "
2033,SSP1-26,"2.64 ","0.51 ","0.61 ","0.29 ","-0.18 ","-0.46 ","0.13 ","-0.21 ","0.00 ","0.00 "
2034,SSP1-26,"2.66 ","0.50 ","0.61 ","0.29 ","-0.18 ","-0.45 ","0.13 ","-0.21 ","0.04 ","0.00 "
2035,SSP1-26,"2.69 ","0.49 ","0.60 ","0.28 ","-0.17 ","-0.43 ","0.13 ","-0.21 ","0.04 ","0.00 "
2036,SSP1-26,"2.71 ","0.49 ","0.60 ","0.28 ","-0.17 ","-0.42 ","0.12 ","-0.21 ","0.06 ","0.00 "
2037,SSP1-26,"2.73 ","0.48 ","0.59 ","0.27 ","-0.17 ","-0.40 ","0.12 ","-0.21 ","0.04 ","0.00 "
2038,SSP1-26,"2.76 ","0.48 ","0.59 ","0.27 ","-0.17 ","-0.39 ","0.12 ","-0.21 ","0.04 ","0.00 "
2039,SSP1-26,"2.78 ","0.47 ","0.58 ","0.26 ","-0.16 ","-0.37 ","0.12 ","-0.21 ","0.01 ","0.00 "
2040,SSP1-26,"2.79 ","0.46 ","0.58 ","0.26 ","-0.16 ","-0.36 ","0.12 ","-0.20 ","-0.01 ","0.00 "
2041,SSP1-26,"2.81 ","0.46 ","0.57 ","0.25 ","-0.16 ","-0.35 ","0.12 ","-0.20 ","-0.03 ","0.00 "
2042,SSP1-26,"2.83 ","0.45 ","0.57 ","0.25 ","-0.16 ","-0.34 ","0.11 ","-0.20 ","-0.03 ","0.00 "
2043,SSP1-26,"2.85 ","0.45 ","0.56 ","0.24 ","-0.16 ","-0.33 ","0.11 ","-0.20 ","-0.03 ","0.00 "
2044,SSP1-26,"2.86 ","0.44 ","0.56 ","0.24 ","-0.16 ","-0.32 ","0.11 ","-0.20 ","-0.02 ","0.00 "
2045,SSP1-26,"2.88 ","0.43 ","0.55 ","0.23 ","-0.15 ","-0.31 ","0.11 ","-0.20 ","0.02 ","0.00 "
2046,SSP1-26,"2.89 ","0.43 ","0.55 ","0.23 ","-0.15 ","-0.30 ","0.11 ","-0.20 ","0.04 ","0.00 "
2047,SSP1-26,"2.90 ","0.42 ","0.54 ","0.22 ","-0.15 ","-0.29 ","0.11 ","-0.20 ","0.07 ","0.00 "
2048,SSP1-26,"2.91 ","0.42 ","0.54 ","0.22 ","-0.15 ","-0.28 ","0.10 ","-0.20 ","0.07 ","0.00 "
2049,SSP1-26,"2.92 ","0.41 ","0.53 ","0.21 ","-0.15 ","-0.27 ","0.10 ","-0.20 ","0.05 ","0.00 "
2050,SSP1-26,"2.93 ","0.41 ","0.53 ","0.21 ","-0.15 ","-0.26 ","0.10 ","-0.20 ","0.01 ","0.00 "
2051,SSP1-26,"2.94 ","0.40 ","0.53 ","0.20 ","-0.15 ","-0.26 ","0.10 ","-0.20 ","0.00 ","0.00 "
2052,SSP1-26,"2.95 ","0.39 ","0.52 ","0.20 ","-0.15 ","-0.25 ","0.10 ","-0.20 ","-0.02 ","0.00 "
2053,SSP1-26,"2.96 ","0.39 ","0.52 ","0.20 ","-0.14 ","-0.24 ","0.10 ","-0.20 ","-0.03 ","0.00 "
2054,SSP1-26,"2.96 ","0.38 ","0.52 ","0.20 ","-0.14 ","-0.24 ","0.10 ","-0.20 ","-0.02 ","0.00 "
2055,SSP1-26,"2.97 ","0.38 ","0.51 ","0.19 ","-0.14 ","-0.23 ","0.10 ","-0.20 ","0.00 ","0.00 "
2056,SSP1-26,"2.97 ","0.37 ","0.51 ","0.19 ","-0.14 ","-0.23 ","0.09 ","-0.20 ","0.02 ","0.00 "
2057,SSP1-26,"2.98 ","0.37 ","0.51 ","0.19 ","-0.14 ","-0.22 ","0.09 ","-0.20 ","0.02 ","0.00 "
2058,SSP1-26,"2.98 ","0.36 ","0.50 ","0.18 ","-0.14 ","-0.21 ","0.09 ","-0.20 ","0.03 ","0.00 "
2059,SSP1-26,"2.98 ","0.36 ","0.50 ","0.18 ","-0.14 ","-0.21 ","0.09 ","-0.20 ","0.03 ","0.00 "
2060,SSP1-26,"2.99 ","0.35 ","0.50 ","0.18 ","-0.13 ","-0.20 ","0.09 ","-0.20 ","0.01 ","0.00 "
2061,SSP1-26,"2.99 ","0.35 ","0.49 ","0.18 ","-0.13 ","-0.20 ","0.09 ","-0.19 ","-0.01 ","0.00 "
2062,SSP1-26,"2.99 ","0.35 ","0.49 ","0.17 ","-0.13 ","-0.19 ","0.09 ","-0.19 ","-0.02 ","0.00 "
2063,SSP1-26,"2.99 ","0.34 ","0.49 ","0.17 ","-0.13 ","-0.19 ","0.09 ","-0.19 ","-0.03 ","0.00 "
2064,SSP1-26,"2.99 ","0.34 ","0.49 ","0.17 ","-0.13 ","-0.19 ","0.09 ","-0.19 ","-0.03 ","0.00 "
2065,SSP1-26,"2.99 ","0.33 ","0.48 ","0.17 ","-0.13 ","-0.18 ","0.09 ","-0.19 ","-0.03 ","0.00 "
2066,SSP1-26,"2.99 ","0.33 ","0.48 ","0.16 ","-0.13 ","-0.18 ","0.08 ","-0.19 ","0.00 ","0.00 "
2067,SSP1-26,"2.99 ","0.32 ","0.48 ","0.16 ","-0.13 ","-0.17 ","0.08 ","-0.19 ","0.03 ","0.00 "
2068,SSP1-26,"2.98 ","0.32 ","0.48 ","0.16 ","-0.13 ","-0.17 ","0.08 ","-0.19 ","0.04 ","0.00 "
2069,SSP1-26,"2.98 ","0.31 ","0.48 ","0.15 ","-0.13 ","-0.16 ","0.08 ","-0.19 ","0.04 ","0.00 "
2070,SSP1-26,"2.98 ","0.31 ","0.47 ","0.15 ","-0.13 ","-0.16 ","0.08 ","-0.19 ","0.02 ","0.00 "
